district_id	district_name	n_cases
LK-11	Colombo	18890
LK-11-CMC	CMC	3837
LK-12	Gampaha	20305
LK-13	Kalutara	6138
LK-13-NIHS	NIHS	1252
LK-21	Kandy	6961
LK-22	Matale	989
LK-23	Nuwaraeliya	741
LK-31	Galle	5213
LK-32	Matara	6130
LK-33	Hambantota	2532
LK-41	Jaffna	959
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1523
LK-52	Ampara	667
LK-52-Kalmunai	Kalmunai	1103
LK-53	Trincomalee	679
LK-61	Kurunegala	2691
LK-62	Puttalam	2072
LK-71	Anuradhapura	952
LK-72	Polonnaruwa	748
LK-81	Badulla	1493
LK-82	Monaragala	1191
LK-91	Ratnapura	5060
LK-92	Kegalle	2778
