district_id	district_name	n_cases
LK-11	Colombo	16814
LK-11-CMC	CMC	3452
LK-12	Gampaha	17971
LK-13	Kalutara	5526
LK-13-NIHS	NIHS	1066
LK-21	Kandy	5873
LK-22	Matale	876
LK-23	Nuwaraeliya	621
LK-31	Galle	4677
LK-32	Matara	5762
LK-33	Hambantota	2299
LK-41	Jaffna	861
LK-42	Mannar	86
LK-43	Vavuniya	144
LK-44	Mullaitivu	53
LK-45	Kilinochchi	79
LK-51	Batticaloa	1393
LK-52	Ampara	588
LK-52-Kalmunai	Kalmunai	941
LK-53	Trincomalee	637
LK-61	Kurunegala	2385
LK-62	Puttalam	1803
LK-71	Anuradhapura	797
LK-72	Polonnaruwa	687
LK-81	Badulla	1271
LK-82	Monaragala	1072
LK-91	Ratnapura	4643
LK-92	Kegalle	2347
