district_id	district_name	n_cases
LK-11	Colombo	19533
LK-11-CMC	CMC	3974
LK-12	Gampaha	21078
LK-13	Kalutara	6327
LK-13-NIHS	NIHS	1314
LK-21	Kandy	7500
LK-22	Matale	1052
LK-23	Nuwaraeliya	794
LK-31	Galle	5419
LK-32	Matara	6261
LK-33	Hambantota	2623
LK-41	Jaffna	1032
LK-42	Mannar	95
LK-43	Vavuniya	167
LK-44	Mullaitivu	80
LK-45	Kilinochchi	98
LK-51	Batticaloa	1581
LK-52	Ampara	708
LK-52-Kalmunai	Kalmunai	1219
LK-53	Trincomalee	695
LK-61	Kurunegala	2793
LK-62	Puttalam	2172
LK-71	Anuradhapura	1024
LK-72	Polonnaruwa	782
LK-81	Badulla	1578
LK-82	Monaragala	1236
LK-91	Ratnapura	5208
LK-92	Kegalle	3000
